Name,Quantity,Price,Source
RP2040,1,$7.49,https://www.aliexpress.com/item/1005006593701624.html?spm=a2g0o.order_list.order_list_main.5.21ef1802JIK0tV
PCB,1,$3.50,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
LED SK6812MINI-E,1,$3.03,https://www.aliexpress.com/item/1005008308801366.html?spm=a2g0o.order_list.order_list_main.45.41861802Qc19ld
1N4148 Diode,1,$0.78,https://www.aliexpress.com/item/1005006245109375.html?spm=a2g0o.order_list.order_list_main.35.41861802Qc19ld
DSA Keycap,1,$4,https://www.aliexpress.com/item/1005007484333313.html?spm=a2g0o.order_list.order_list_main.5.41861802Qc19ld
Cherry MX Switch,1,$7.68,https://www.aliexpress.com/item/4001111706889.html?spm=a2g0o.order_list.order_list_main.40.41861802Qc19ld
EC11 Rotary Encoder,1,$1.28,https://www.aliexpress.com/item/1005005968445004.html?spm=a2g0o.order_list.order_list_main.30.41861802Qc19ld
0.91 inch OLED,1,$2.41,https://www.aliexpress.com/item/1005008640132638.html?spm=a2g0o.order_list.order_list_main.20.41861802Qc19ld
Screws,1,$1.83,https://www.aliexpress.com/item/4000026671295.html?spm=a2g0o.order_list.order_list_main.15.41861802Qc19ld
Heatset inserts,1,$5.72,https://www.aliexpress.com/item/4000232858343.html?gatewayAdapt=usa2glo4itemAdapt
Total,,$37.44,
